Feature,Wilks_Lambda,P_Value
BA5,0.9142126690587118,0.0
BA1,0.8645037815186729,0.0
BA122,0.8075696329370412,0.0
BA24,0.7786629713759147,0.0
BA63,0.7612616545239181,0.0
BA22,0.7449003967031975,0.0
BA121,0.7332830786126407,0.0
BA33,0.7225995059220576,0.0
BA130,0.7088960705159368,0.0
BA70,0.7013479645244145,0.0
BA3,0.6939714327095549,0.0
BA143,0.6855013735074147,0.0
BA105,0.6797547268534971,0.0
BA34,0.6744866851585622,0.0
BA142,0.669465897860205,0.0
BA30,0.666518543828939,0.0
BA123,0.6638943304080911,0.0
BA153,0.6591826617175863,0.0
BA111,0.6566970131733006,0.0
BA139,0.6542354824043687,0.0
BA99,0.652393358182257,0.0
BA62,0.6510129991600097,0.0
BA8,0.6498013649522235,0.0
BA129,0.648659407733347,0.0
BA84,0.6477488284761728,0.0
BA77,0.647044119050873,0.0
BA190,0.6462289422377662,0.0
BA29,0.6455019114743491,0.0
BA192,0.6328545939466383,0.0
BA198,0.6263143974446783,0.0
BA37,0.6257143293652169,0.0
BA116,0.6252960782774172,0.0
BA202,0.622646149128441,0.0
BA203,0.617600787665524,0.0
BA204,0.6156987995565733,0.0
BA208,0.605761509090848,0.0
BA209,0.6012133740099657,0.0
BA210,0.6006427670950699,0.0
BA212,0.5917846002539574,0.0
BA213,0.590093743432644,0.0
BA217,0.584978049549245,0.0
BA157,0.5846932827385808,0.0
BA162,0.5844439723813386,0.0
BA236,0.5817769066641062,0.0
BA242,0.5750272666248192,0.0
BA191,0.5747693193733351,0.0
BA246,0.5718173659010776,0.0
BA247,0.5705514656004267,0.0
BA126,0.5703096729090706,0.0
BA250,0.5651585915485159,0.0
BA74,0.5649439097023368,0.0
BA255,0.5643538180936691,0.0
BA263,0.558371392591543,0.0
BA154,0.5580132235658214,0.0
BA273,0.5554884833946243,0.0
BA276,0.5548975956296855,0.0
BA279,0.5507989495323105,0.0
BA59,0.550523454937156,0.0
BA283,0.5501012905614292,0.0
BA287,0.549494877339905,0.0
BA16,0.5493479156755605,0.0
BA200,0.5491770140089024,0.0
BA51,0.5489889388629823,0.0
BA294,0.5476860199497576,0.0
BA302,0.5473588283924986,0.0
BA304,0.5462120283852769,0.0
BA310,0.5439304164009259,0.0
BA185,0.5437314771708757,0.0
BA25,0.5435814051706518,0.0
BA115,0.5434402189841818,0.0
BA316,0.5393241236872783,0.0
BA201,0.5391969792541274,0.0
BA315,0.5390917345775914,0.0
BA325,0.5388178490926158,0.0
BA108,0.5387153636252509,0.0
BA65,0.5386303201071942,0.0
BA333,0.538012851631114,0.0
BA2,0.5378999307518619,0.0
BA339,0.5300644343381421,0.0
BA340,0.5295764693922763,0.0
BA148,0.5294850992801486,0.0
BA346,0.5260551784298902,0.0
BA352,0.5255279457550682,0.0
BA353,0.525374721473444,0.0
BA230,0.5253050990247344,0.0
BA358,0.5252247449499111,0.0
BA359,0.5250792346912008,0.0
BA362,0.5238697952495236,0.0
BA41,0.5237929828612364,0.0
BA369,0.5235922673638924,0.0
BA373,0.5221654179880464,0.0
BA318,0.5220252940955046,0.0
BA380,0.5219019716405319,0.0
BA146,0.5218264686757431,0.0
BA152,0.5217496227919621,0.0
BA385,0.5214277041099662,0.0
BA389,0.5192617870101278,0.0
BA392,0.5191191847281607,0.0
BA383,0.5190310629050984,0.0
BA396,0.5188009677696166,0.0
BA151,0.5186364914070182,0.0
BA165,0.5185570435781762,0.0
BA407,0.5164125113718804,0.0
BA416,0.5156478919762824,0.0
BA381,0.5155506831343482,0.0
BA423,0.5153774178395651,0.0
BA428,0.5112627783912339,0.0
BA331,0.5111596387724016,0.0
BA436,0.5108373330869094,0.0
BA441,0.5103242749741158,0.0
BA319,0.510210338843555,0.0
BA444,0.5070846675482958,0.0
BA447,0.5068915289859638,0.0
BA456,0.5064664402492493,0.0
BA457,0.5030434524719058,0.0
BA399,0.5029137555717339,0.0
BA466,0.49967721217627564,0.0
BA402,0.49949641190197386,0.0
BA471,0.4975906347666506,0.0
BA280,0.4974629599194597,0.0
BA474,0.4973398759616535,0.0
BA476,0.49714426563712943,0.0
BA478,0.4943777765505926,0.0
BA481,0.4895797200576547,0.0
BA443,0.48947742419343027,0.0
BA489,0.4893667538895588,0.0
BA492,0.4885542313941402,0.0
BA495,0.48694528379764007,0.0
BA475,0.48683111806160473,0.0
BA507,0.4856292817191495,0.0
BA501,0.4855291301617847,0.0
BA487,0.4854166575783916,0.0
BA461,0.4853207312535318,0.0
BA336,0.4852207835965315,0.0
BA150,0.48509253638845407,0.0
BA468,0.48501605426283423,0.0
BA164,0.4849244616072073,0.0
BA313,0.4848409648644703,0.0
BA249,0.48475930343590146,0.0
BA419,0.4846821299189515,0.0
BA128,0.4846142749963883,0.0
BA245,0.48453693829667116,0.0
BA366,0.48445686641156654,0.0
BA180,0.4843736583385226,0.0
BA127,0.48430200586002287,0.0
BA288,0.4842662726229528,0.0
BA172,0.4842286043564413,0.0
BA378,0.484167822710139,0.0
BA312,0.4841120522846721,0.0
BA81,0.4840238975028507,0.0
BA345,0.4839819902360057,0.0
BA329,0.48394440145767925,0.0
BA224,0.48391207914046425,0.0
BA291,0.4838814332485221,0.0
BA356,0.4837920216993335,0.0
BA431,0.48375719541801415,0.0
BA395,0.4837259876975617,0.0
